hospital,demand,seed,variant,public_p90_s,bed_p90_s,public_mean_s,bed_mean_s,public_count,bed_count,trips,utilization_pct,clearance_min
dushu,0.6,13,a,43.351248036283685,46.91902593699603,22.068052995781006,29.660890107491884,672,48,645,80.37391164986686,0.6739242817207014
dushu,0.6,13,b,51.025704994982235,145.36156544577383,25.390664245387693,64.57622883228122,672,48,613,76.37391164986686,1.1310534308187623
dushu,0.6,29,a,42.02782004772689,71.40243829441931,21.944114727617453,37.05769890713305,636,44,627,77.05632642333947,1.59377593260618
dushu,0.6,29,b,50.3682611397287,320.93946832264373,26.487940803622767,107.51920011733168,636,44,600,73.30181869889802,3.4617300900937154
dushu,0.6,47,a,38,51.58816219152705,19.554975073943734,29.660683100267416,659,35,631,76.31473836490814,0.3838837726614353
dushu,0.6,47,b,47.62537837203973,134.13790268269807,25.10748998057693,55.32095470719369,659,35,595,72.68116752218616,0.7625976616019519
dushu,0.6,71,a,43.564121209408405,60.449988931767294,22.37247604699566,35.26829147399718,665,38,644,78.66533009433097,0.6524268348503028
dushu,0.6,71,b,49.18386395428149,182.15058952397865,25.95750711493223,72.85619806479227,665,38,606,74.07077953157982,0.6524268348503028
dushu,0.6,101,a,44.31347407334175,61.79066410260476,22.074366580464176,38.56176554232631,678,49,653,81.6198829773093,0.7074608043782973
dushu,0.6,101,b,53.351218330418405,144.46912523238245,26.94678672740666,62.931500895383934,678,49,621,77.09244418780791,0.9788200055737737
dushu,0.6,137,a,43.800699068201624,75.37094901845956,22.08076451524742,39.13977397322623,637,32,600,72.76852611342008,0.5934735181837822
dushu,0.6,137,b,48.363613597909165,145.9106875674141,24.582809531202386,65.87223120243362,637,32,573,69.6481557430497,0.5268068515171156
dushu,0.6,179,a,42.92386100994463,53.789572346694925,21.43669147243511,32.30064539668416,641,46,620,76.9352545165447,1.0931255892975968
dushu,0.6,179,b,49.85111469380081,106.13430839404873,25.590968280138362,45.74652362837117,641,46,595,73.31367573887876,1.5097922559642636
dushu,0.6,223,a,40.0169105147379,58.73271803247563,20.30166290441219,33.50150903233768,636,35,614,75.33643362973517,0.5586905137057026
dushu,0.6,223,b,45.41423084689268,160.50032535359,23.885381312221092,73.79077252592914,636,35,580,70.85785706251035,0.8205331552627588
dushu,0.6,269,a,50.91933898300241,71.19987017791327,24.51105272232134,43.57712331283543,627,43,611,76.03445555478905,0.43864377114453723
dushu,0.6,269,b,47.401662863214035,173.10629615590676,24.751110457328014,91.30278125993487,627,43,591,73.68301495157343,0.5361998947031983
dushu,0.6,317,a,43.35898536654112,57.49139301897823,21.81323737271399,36.2981043211483,632,50,609,76.66356324341558,1.7787113253470428
dushu,0.6,317,b,45.45351803638687,176.6845295787448,24.346235891060246,73.71051149926777,632,50,591,73.29481431180325,5.598153338505836
dushu,0.6,373,a,45.1455917093117,56.92953272709474,21.558832437719566,34.94540738357069,609,37,596,72.89645634860433,1.6350342212382505
