case,radius_mm,speed_m_min,A_m,B_m,saved_m,saved_moving_min
outpatient,100,60,179.49057710597708,161.7518902707867,17.73868683519038,0.2956447805865063
outpatient,150,60,179.9592062560786,162.45483399593903,17.504372260139576,0.2917395376689929
outpatient,200,60,180.42783540618015,162.92346314604055,17.504372260139604,0.2917395376689934
outpatient,250,60,180.77930726875627,163.39209229614204,17.38721497261423,0.28978691621023717
outpatient,300,60,181.276363543604,163.72346314604053,17.552900397563462,0.29254833995939106
outpatient,350,60,182.21362184380703,164.66072144624357,17.552900397563462,0.29254833995939106
outpatient,400,60,182.56509370638315,165.12935059634506,17.43574311003809,0.2905957185006348
outpatient,450,60,182.68225099390855,165.36366517139587,17.318585822512688,0.2886430970418781
imaging,100,60,158.6905771059769,141.42051942088804,17.270057685088858,0.287834294751481
imaging,150,60,159.04204896855305,141.7719912834642,17.270057685088858,0.287834294751481
imaging,200,60,160.02783540617995,142.87493500861646,17.152900397563485,0.28588167329272474
imaging,250,60,160.37930726875607,143.2264068711926,17.152900397563457,0.2858816732927243
imaging,300,60,160.7793072687561,143.57787873376878,17.201428534987315,0.28669047558312194
imaging,350,60,161.01362184380685,143.57787873376878,17.43574311003806,0.29059571850063437
imaging,400,60,161.53077913133222,144.09503602129413,17.43574311003809,0.2905957185006348
imaging,450,60,161.765093706383,144.44650788387028,17.318585822512716,0.2886430970418786
wheelchair,100,36,145.49402589451768,124.8264068711928,20.667619023324875,0.5741005284256909
wheelchair,150,36,145.49402589451768,124.9435641587182,20.550461735799473,0.5708461593277632
wheelchair,200,36,145.89402589451768,125.34356415871818,20.5504617357995,0.570846159327764
wheelchair,250,36,146.01118318204306,125.46072144624357,20.550461735799487,0.5708461593277635
wheelchair,300,36,146.41118318204306,125.69503602129433,20.716147160748733,0.5754485322430204
wheelchair,350,36,146.6454977570938,125.8121933088197,20.833304448274106,0.5787029013409474
wheelchair,400,36,148.07636354360395,129.57787873376896,18.49848480983499,0.5138468002731942
wheelchair,450,36,148.42783540618012,130.16366517139585,18.264170234784274,0.5073380620773409
